index,core_people_number,important_node_number,live_apple,live_people_number,live_stay_fre,live_weekday_day_time,live_weekday_eve_time,live_weekend_day_time,live_weekend_eve_time,no_core_people_number,noimportant_node_number,sx_29_01,sx_29_02,sx_29_03,sx_29_04,sx_29_05,sx_29_06,sx_29_07,sx_29_08,sx_29_09,sx_29_10,sx_29_11,sx_29_12,sx_29_13,sx_29_14,sx_29_15,sx_29_16,visit_apple,visit_people_number,visit_stay_fre,visit_weekday_day_time,visit_weekday_eve_time,visit_weekend_day_time,visit_weekend_eve_time,walk_frequency,web_time_business,web_time_enjoy,web_time_life,web_time_other,work_apple,work_people_number,work_stay_fre,work_weekday_day_time,work_weekday_eve_time,work_weekend_day_time,work_weekend_eve_time
94498,2653,NA,60,767,9244,74054324,29609517,30859080,12228772,1941,NA,NA,NA,7,147,624,543,483,405,439,486,328,174,143,88,86,141,451,3472,9244,39114013,9736919,21358449,5000244,NA,32283125,45999409,36534438,83486989,41,355,9244,23568263,3876160,7374748,1357944
45147,42,NA,2,14,132,3002638,596192,1126291,269577,14,NA,NA,NA,NA,1,1,7,5,8,3,6,5,1,3,3,NA,3,2,40,132,361749,86520,290457,39715,NA,722239,849435,711980,1472276,NA,2,132,16042,0,0,60
66625,11559,NA,50,1925,24930,75195840,35477961,31227804,14545094,14044,NA,3,4,22,285,1433,2231,2383,2365,2430,2508,1805,984,833,389,369,1281,1089,20661,24930,45228594,3900018,33610705,2294115,NA,82529560,110761466,96614141,205119438,117,3017,24930,9510362,1152694,1462010,224246
82306,303,NA,8,53,1136,22238304,11272590,10499604,4821353,28,2,NA,NA,NA,2,40,43,39,30,29,40,17,16,12,5,7,18,50,264,1136,5423197,1425127,3000500,728526,NA,4819960,7789524,8203543,13529415,NA,14,1136,3455795,647696,996153,206146
90936,687,4,92,210,1856,65113559,37789035,34742293,13147139,69,1,NA,NA,NA,11,89,124,149,108,63,62,33,20,15,3,4,33,116,491,1856,9137800,2804546,6190299,1698486,105109,17372715,21764330,29650655,47302114,14,55,1856,12625023,1437732,4437839,471565
279589,2035,NA,99,667,5910,351841301,149128051,142802536,58559235,289,NA,1,3,27,75,267,284,290,259,220,212,173,81,81,38,23,95,351,1497,5910,27889844,6263713,17784273,4439571,NA,44044424,62932429,71314722,121442169,29,160,5910,44245075,4065129,11798013,1665981
411684,46,NA,1,3,111,633523,230076,344671,105313,7,NA,NA,NA,NA,NA,3,7,6,10,6,6,4,5,1,2,NA,2,11,47,111,394315,61258,142714,38689,NA,679679,2349606,1442061,2299421,NA,3,111,844874,349545,43058,1369
291745,283,NA,6,73,857,33857322,13267404,12024098,5109744,63,NA,NA,NA,NA,18,27,33,39,40,42,46,26,8,7,6,1,6,24,187,857,6508345,1228519,2400750,413979,NA,3784550,7066370,3487584,11252304,8,86,857,29775917,2652771,7124040,851860
272468,96,NA,2,13,313,6465468,3645480,2861632,1382813,8,NA,NA,NA,NA,NA,5,17,18,14,13,10,10,5,2,1,NA,2,16,85,313,1388900,288174,758886,227204,NA,1465575,2277203,4372156,4056040,1,6,313,1063264,23974,322492,2491
270287,191,NA,NA,7,459,3068036,1199878,1429707,504812,29,1,NA,NA,NA,NA,14,22,32,24,21,19,12,13,10,1,4,16,45,206,459,1562090,255816,1208092,226285,303,3033313,4075964,5622704,8627534,NA,7,459,442853,66829,307572,59805
281755,126,NA,NA,5,343,1990253,1052405,472362,241432,14,NA,NA,NA,NA,6,10,19,21,14,12,11,10,11,2,2,3,7,34,132,343,1408383,223488,734428,131997,NA,2057865,2958876,3188189,5765929,1,3,343,498253,1327,99819,54
284589,348,NA,6,48,1478,13687124,6025173,6007678,2291557,44,1,NA,1,NA,7,34,70,45,55,29,42,22,16,12,3,1,23,64,328,1478,6390100,1276868,3119968,682135,2218,6578719,9776693,25452641,19733315,3,16,1478,2408368,392602,817386,215211
160170,648,NA,5,87,2508,31050716,12104806,13528143,4755325,133,7,NA,NA,NA,11,38,91,73,94,75,98,78,34,26,16,16,37,99,663,2508,10183043,2022468,5451688,790492,32319,8257484,12166238,21229560,20180315,3,31,2508,5787625,792072,2189812,349760
158031,946,NA,10,165,3034,54710261,23313695,23581519,9237345,180,NA,NA,1,1,14,60,109,109,121,105,119,97,61,58,20,19,51,114,905,3034,12987547,3500515,7161380,1587504,NA,11655494,14707981,16320222,28777645,4,56,3034,15090823,866620,5528199,380005
148750,231,NA,9,51,908,21048315,10049020,8348029,3632644,21,NA,NA,NA,NA,1,17,41,41,27,32,30,13,11,3,2,1,13,39,190,908,5473157,1300954,2567096,526252,NA,5639909,6311825,8253639,15922639,4,11,908,2435293,353081,892379,65453
179449,113,NA,1,15,275,5220894,1541775,2287783,734211,9,NA,NA,NA,NA,1,6,9,11,14,13,16,16,3,7,4,2,10,4,99,275,1239118,297140,1071594,199912,NA,1240320,2273267,1144616,3217789,NA,8,275,2070568,149944,602021,472
168700,69,NA,6,30,161,737962,619807,165560,157817,73,NA,NA,NA,NA,3,24,21,11,14,14,9,4,9,7,NA,2,3,22,99,161,444536,73232,325553,21046,NA,1266530,1228853,1341431,3147993,2,13,161,1836433,190329,228843,17049
169314,56,NA,1,7,170,3614828,1621741,2123065,825099,3,2,NA,NA,NA,NA,4,3,4,9,6,7,7,3,3,2,1,2,3,48,170,636759,157383,319410,44467,NA,362838,697864,224874,1745094,NA,4,170,545094,0,37150,0
297513,1278,NA,70,481,5302,220242734,86389977,93717422,33210917,99,2,NA,NA,1,18,116,143,172,171,126,159,137,68,49,40,28,51,143,786,5302,25658897,6272297,18498935,4480952,NA,19956305,31186340,39348530,58843187,14,110,5302,32990622,3623085,11480382,1280929
328926,21,NA,NA,2,62,553397,291676,279054,150907,6,NA,NA,NA,NA,NA,6,3,3,2,2,2,3,2,NA,NA,NA,1,7,25,62,131129,50181,186564,82503,NA,588107,665322,754375,1356250,NA,NA,62,NA,NA,NA,NA
349016,32,NA,NA,6,91,3255541,1861357,1375241,791171,4,2,NA,NA,NA,NA,5,6,2,7,1,4,4,5,NA,NA,1,NA,7,29,91,311051,89902,171836,44137,180,626887,755870,369746,1193739,NA,1,91,669012,0,202658,0
295363,1303,NA,75,344,5309,147600538,66967738,62131764,24786053,143,NA,NA,NA,2,30,148,204,205,173,126,137,119,57,55,27,20,58,227,1015,5309,23282112,7147732,17350227,4362379,NA,29168287,44205395,42281193,79429211,18,87,5309,26444520,2389545,8346219,1296270
293280,169,NA,19,61,255,27287835,9426603,11164043,4034801,37,NA,NA,NA,NA,3,25,34,31,30,14,23,15,5,7,NA,4,5,31,125,255,1360934,115381,895232,88173,NA,3391149,5018907,2351555,9505835,2,20,255,6286762,316814,1498589,46046
297517,497,NA,23,135,2396,54670625,24940989,23259941,9162972,38,NA,NA,NA,1,11,49,64,71,62,46,60,53,34,20,10,7,21,59,374,2396,11192185,2747232,6911621,1679664,NA,8895285,16027436,28306073,29675728,2,26,2396,5930766,498067,1821166,188848
295371,1233,NA,47,232,5798,99377645,41039185,41998743,15843584,133,2,NA,NA,3,21,98,227,176,161,109,134,130,76,44,28,28,47,183,1045,5798,24913618,5228433,16169353,3179510,43344,25334257,32444801,35472803,62875145,9,89,5798,21185983,3332510,7005537,1130592
301087,141,NA,3,25,554,11545892,5614593,5265585,2127769,14,3,NA,NA,1,2,15,28,29,23,12,12,12,5,7,2,NA,4,27,121,554,2534663,1004886,2039087,602242,2826,3225514,4474445,5535785,8143128,3,9,554,1261309,223714,466302,87684
